namespace,key,en-US
header,cta_trial,Free Trial Now
hero,review,4.9/5 from 127+ tattoo artists
hero,title,Overwhelmed by Tattoo Inquiries? Let Tiny Parrot Handle Them for You — 24/7.
hero,description,Your own AI-powered front desk assistant that responds instantly to DMs' books appointments' and answers client questions — even while you're tattooing or sleeping.
hero,cta,Get 50% Off Launch Deal
problem,label,The Problem
problem,title,Why It Matters
problem,1_title,100+ DMs Daily
problem,1_description,Drowning in Instagram messages while trying to focus on your art
problem,2_title,Missed Bookings
problem,2_description,Lost clients because you couldn't reply fast enough
problem,3_title,Burnout Mode
problem,3_description,Answering the same pricing questions over and over
how_it_works,label,How It Works
how_it_works,title,Meet Your New AI Assistant
how_it_works,description,Tiny Parrot is your intelligent front desk that never sleeps. It handles all your client communication across Instagram and WhatsApp.
how_it_works,title_items,Setup in Under 5 Minutes
how_it_works,item_1,Connect your Instagram & WhatsApp
how_it_works,item_2,Add your pricing & availability
how_it_works,item_3,Customize your assistant's tone
how_it_works,item_4,Start getting instant replies
what_you_get,label,What You Get
what_you_get,title,Why Choose Tiny Parrot
what_you_get,item_1_title,Instant Replies
what_you_get,item_1_description,Responds to inquiries in under 10 seconds' even at 3am
what_you_get,item_2_title,Fully Automated Booking
what_you_get,item_2_description,Handles scheduling' deposits' and appointment confirmations
what_you_get,item_3_title,Customizable Tone
what_you_get,item_3_description,Matches your personality and style perfectly
what_you_get,item_4_title,Platform Compatibility
what_you_get,item_4_description,Works on Instagram' WhatsApp' and soon on your website
what_you_get,item_5_title,Learns & Improves
what_you_get,item_5_description,Gets smarter with every conversation
what_you_get,item_6_title,Always Professional
what_you_get,item_6_description,Never misses important details or makes mistakes
testimonial,label,Testimonials
testimonial,title,What Artist Are Sayings
plan_pricing,label,Plan & Pricing
plan_pricing,title,Pricing
plan_pricing,description,Get all the tools you need to manage bookings' respond instantly' and grow your tattoo business at a fraction of the cost.
plan_pricing,limited_time,Limited Time
plan_pricing,offer_title,Special Launch Offer
plan_pricing,offer_description,50% . off Limited to first 150 users
plan_pricing,original_price,€100
plan_pricing,discount_price,€50
plan_pricing,per_month,/month
plan_pricing,item_1,No setup fees
plan_pricing,item_2,Cancel Anytime
plan_pricing,item_3,14-day free trial
plan_pricing,item_4,24/7 Support
plan_pricing,cta,Activate Tiny Parrot Now - Get 50% off
plan_pricing,footer_item_1,Secure payment
plan_pricing,footer_item_2,Instant Access
plan_pricing,footer_item_3,Setup in  5 minutes
risk_free_guarantee,title,Risk-Free Guarantee
risk_free_guarantee,description,14-day free trial' cancel anytime. If you're not completely satisfied' get a full refund within 30 days. No questions asked.
faq,label,FAQ
faq,title,Frequently Asked Questions
faq,item_1_title,Will it sound like me?
faq,item_1_description,Absolutely! Tiny Parrot learns your communication style' vocabulary' and personality. You can customize the tone to match exactly how you speak to clients.
faq,item_2_title,Do I need to install anything?
faq,item_2_description,Yes' you’ll need to create an account on our website and then download the Tiny Parrot app from the App Store or Google Play. Once installed' you can connect your accounts through our simple dashboard and start right away.
faq,item_3_title,Is it secure?
faq,item_3_description,Yes! We use bank-level encryption and never store sensitive client information. Your data is completely private and secure.
faq,item_2_title,Can I cancel anytime?
faq,item_2_description,Of course! Cancel with just one click from your dashboard. No contracts' no hassles' no questions asked.
get_your_time_back,label,47 spots remaining at launch price
get_your_time_back,title,Ready to Get Your Time Back?
get_your_time_back,description,Join 150+ tattoo artists who've already transformed their business with Tiny Parrot.
get_your_time_back,cta,Start Your Free Trial Now
footer,tnc,Terms & Conditions
footer,privacy_policy,Privacy Policy
footer,cta,Free Trial Now
